MEblack	MEblue	MEbrown	MEcyan	MEdarkgreen	MEdarkgrey	MEdarkmagenta	MEdarkolivegreen	MEdarkorange	MEdarkred	MEdarkturquoise	MEgreen	MEgreenyellow	MEgrey60	MElightcyan	MElightcyan1	MElightgreen	MElightsteelblue1	MElightyellow	MEmagenta	MEmediumpurple3	MEmidnightblue	MEorange	MEorangered4	MEpaleturquoise	MEpink	MEplum1	MEpurple	MEred	MEroyalblue	MEsaddlebrown	MEsalmon	MEsienna3	MEskyblue	MEskyblue3	MEsteelblue	MEtan	MEturquoise	MEviolet	MEwhite	MEyellow	MEyellowgreen
HR1171	0.0355571674088816	0.0473083842464955	0.0617691562268833	0.050278987535134	-0.0474612970566656	0.0175057764585585	-0.0247244713126976	0.00746286532073178	0.0437731431312522	0.00259174499961804	-0.0207760695844422	-0.0532954323673469	0.0113100290664926	-0.0141517447794531	-0.0166691062667443	-0.0350594682836004	-0.00541313670526856	0.0430280482466484	-0.0141154265508711	0.0589506719935183	-0.0445283339571926	0.0179509999003676	-0.0339298513004592	0.0228352070642527	0.000108254646027637	-0.0225163967877097	-0.0139485822900236	0.0352202588330611	-0.00343345533565044	-0.0108390560236044	0.0123462870905006	0.0134306151309029	-0.0226308911041018	-0.0322400125106972	-0.000446295079850358	-0.023148128847755	0.0399604125220549	-0.00533009182739874	-0.0189143131666454	-0.0455167698370001	0.0648800772676901	-0.000104098798174781
HR1184	0.00560245558678374	0.0951512219388143	0.0959647679433459	0.166198908914396	-0.0721331977659371	0.0103398181228076	-0.00989382294765087	-0.0708534267069632	0.0660094123256712	0.0831752064880692	-0.0635732465618257	-0.0577244430670552	-0.0618687936769185	-0.0513898185735174	-0.0593335721908057	-0.0379951017457578	0.0205247219717065	0.0520746937626394	-0.0512309421961947	0.0464937282657915	-0.0389169733943584	-0.0709465701591248	0.01291891943084	-0.0146736398196832	-0.020454554557913	-0.0552103277704162	-0.0794882243000452	0.127346832427077	0.104207718091289	-0.0791024149064635	0.0554600241273149	0.0139058855316122	-0.0117496915874527	0.0259807251240782	-0.0666322180298303	-0.0143919957215452	0.112213813771738	-0.00447084152038374	-0.0742341606838405	-0.050141309580649	0.00245529289004592	-0.0883418789067352
HR1186	-0.0181697537304429	0.00264533163505045	0.0522340735021546	-0.0115502444311623	-0.058421317877106	-0.0326506857164662	-0.03981831926698	-0.0488702586905441	0.0436032296879703	-0.0229107400535293	0.00104257553904537	-0.0543070702504111	-0.0388320501706374	-0.0392974276964448	-0.000274399067288986	-0.0272332547911116	-0.0401336105385297	-0.0167040525473329	-0.0446873138894895	0.0238030565639621	-0.061819716608973	-0.0370996484719717	-0.0409805741158442	-0.000154870131170837	-0.0416216947324951	-0.0567206335367609	-0.0506661398918598	-0.00711613782501207	0.0130258934947765	-0.0152571892821981	-0.0143100536365248	-0.0283774968122418	-0.0505465859162275	-0.0419589784374134	-0.046779620958441	-0.0194612538325765	0.0353135683815585	0.0589690119445904	-0.0467784240511874	-0.01767920588933	0.0212999007971537	-0.0318577731077998
HR1188	0.00131988963890868	0.046473221651788	0.0229027833211667	0.0723451869727226	-0.0665594924430431	-0.0431008001227855	-0.000146586573535739	-0.0287866024876012	0.000192576320319044	0.0473065371919364	-0.0781057044720821	-0.0312944536293938	-0.0291661079654592	-0.0030208313786973	-0.0444396132328225	0.020811918134848	0.0154251735476677	0.0324042723507647	-0.042965922444892	0.00919242067063894	-0.00448889909190109	-0.0302607687284417	0.0157831258540301	-0.00742991778926676	-0.0122144289445448	-0.0705404368489564	-0.0889965824038778	0.0604484466542087	0.0267127518996245	-0.106430010816347	-0.0341483545153072	0.014103678426706	0.00309467637311223	0.0245375340115871	-0.0231989296414038	-0.0398594163588018	0.0586411101266737	0.0196965749743033	-0.0889473795045967	-0.0225413000236966	-0.0456441817784328	-0.108552652724427
HR1191	-0.020465474404419	-0.00637017276657644	-0.00988468421848504	0.0526036339248432	0.00372267805171348	-0.0370490288427055	-0.00126378244078944	0.0143882199606992	-0.00520245336166684	0.0285338681435246	0.0245461460337197	-0.046529402881389	-0.0239677985602405	-0.0294015673717538	-0.0149529086839973	-0.0143642745328613	0.0104119614744579	-0.00640769461968336	-0.00451875099770729	-0.0215294945445703	-0.0213542735775891	0.00925307348047287	0.0321538074958808	-0.0215896206273975	-0.020674102266723	0.0196661373918392	-0.00701667411477989	-0.00332593763645068	0.01035108135918	0.0175731424448244	-0.0298572031959533	-0.0117162618179656	-0.0108121187895806	0.0516491244972075	0.00136430381375222	0.0306179667298101	0.0029606499267383	0.00268087891302002	0.0170826178454443	-0.0470320184694205	-0.0285044968710947	0.0034105213490368
HR1192	0.0932254506809422	0.0865607084051312	-0.0124605443583113	-0.0031345578645111	-0.0539598019097996	-0.0720196055269313	0.0764672627913605	0.0462516075761633	-0.0717604267919703	0.0576553179557415	-0.11631520623015	-0.022150654631605	0.0735773963766645	0.0492539781939893	-0.0599142815844693	-0.0216101949879456	0.0659263231716092	0.078959137403093	0.0436464392276045	0.0465699208509309	0.026381735893142	0.039103423251144	0.0329030011503935	-0.0793182006531339	0.0735563885300705	-0.0257887775551042	-0.0255460634787303	0.0697018084146662	-0.0148297222173711	-0.101031333498246	-0.0607669824054389	0.0800683419529609	0.0763245118169508	0.0252455040048608	0.0470184942564393	-0.0801412597719345	0.0287418762713494	-0.0489240670671788	-0.03975102772651	-0.043881670479202	-0.0453376412578804	-0.0792541989962994
HR1227	0.0121487277471412	0.00737229208976165	0.0194296307042187	-0.0398281185747441	-0.0312698653294946	-0.02643322729133	0.00269640297356719	-0.0251918114854692	0.0012814156920898	-0.00891074445206737	0.00232684583074231	-0.05815784144468	0.00755914506590254	-0.0162608944053991	0.0216201785337676	-0.00244459426225972	-0.000226923215788702	0.00827692013419891	0.00759145061086297	0.0252148455308691	-0.0332879243168836	-0.00982112716062807	-0.0204872030201705	-0.0144148072791381	-0.00243955052419557	0.00153445278340253	-0.00949019713070623	-0.0172585367060056	-0.0700912525497683	-0.00554483048280055	-0.041645384346252	0.00581267467656766	-0.0171262813546511	-0.0445255378306039	-0.0224765062364831	0.0145958135278447	0.00352591858203224	0.0144776866973998	0.000161046119335231	-0.043180758588063	0.0268240093374459	-0.00835738615981224
HR1230	-0.0451978334529833	0.0197906221055945	0.00822270596937347	0.0157672606058136	-0.0265878464273008	-0.0490246231962338	-0.0377706932403812	-0.0181002451475075	0.00778756516029268	0.0247419080189987	0.0107714201013972	-0.0376351863039732	-0.012488712732258	-0.0436398356429186	-0.049417357471953	-0.0636845908267763	-0.0134636127284223	-0.00868248213816036	-0.0431675601184955	-0.0355815736587283	-0.0353353147638251	-0.0143203803435425	0.00642497061615051	-0.0109673477009321	-0.035945302247325	-0.0265498942926336	-0.0446320697594703	0.0521512286999387	-0.0111275006878517	-0.0160731874535191	-0.0639964280616815	-0.0361664037059349	-0.050850679640995	0.0393015278846433	-0.0307106003846993	0.0214469743385099	0.0691286188985535	0.0437989762545615	-0.027608513994278	-0.0077836207010043	-0.0399811467508417	-0.0265107625386499
HR1234	-0.0398858715863449	-0.00353284667998456	0.0457263646280811	0.060188380296642	-0.0484683496833546	-0.0202183527409812	-0.064909142740718	-0.0223550503069087	0.0594876110092425	-0.0146301053554512	0.0015152521729291	-0.0578301932383909	-0.0426812956199257	0.0466483126590854	0.00169949259835039	-0.0125994560796432	-0.0541544742532939	-0.0293803313378107	-0.0726130326652626	0.00416902536349808	-0.0604315238818119	-0.0337101084014191	-0.0440885488391496	0.0236096012205273	-0.0440302412536117	-0.0786331835594527	-0.0616096480794085	0.00499779639909705	0.0665603697439164	-0.0327101580326626	-0.0326883965250991	-0.0462610707204323	-0.0392993125008909	-0.0319353305452215	0.0164166781024029	0.0334330404739028	0.0409236928247571	0.0502989145006426	-0.0735373518778847	-0.0211531110733229	0.00725585767291291	-0.0574407033141746
HR1236	0.0223630743501977	0.139514660403737	0.0425902267475726	0.164002425988586	-0.0849788713291857	0.00199451309789655	0.027697551256543	-0.0141637387326083	-0.0117231695335993	0.143788445934979	-0.13445119144233	-0.0258440149832806	-0.0560063246518402	-0.0170748805781705	-0.147485984654111	-0.0157022337632023	0.0916609062543851	0.115235433820703	-0.0402194764958755	0.033650089710422	0.058210770766729	-0.0490373885999337	0.0755623213308309	-0.0281278769418249	0.00503568689417279	-0.0587600314863882	-0.126688890909085	0.151529606718432	0.0490970523654202	-0.172471448504609	0.0381990375394616	0.0549873709233242	0.04080521573743	0.0818877414406121	-0.0114560905904311	-0.0542793194400422	0.129059508329566	-0.02290554060192	-0.0990014961344386	-0.0327564336722774	-0.0829429150699866	-0.143451803722141
