gene	module	cor
A1BG	grey	0.30999614362995
A1BG-AS1	grey	0.528065700966706
A2M	grey	0.219446699430871
A2M-AS1	turquoise	0.596000743415198
A2ML1	grey	0.318872425001286
A3GALT2	turquoise	0.434558892124979
A4GALT	lightgreen	0.821128143373713
AAAS	grey	-0.357485094073358
AACS	grey	-0.0405539860490409
AACSP1	grey	-0.184039722417958
AADAC	grey	-0.245184818384715
AADACL2-AS1	turquoise	0.878154432662573
AADACP1	turquoise	0.715696291581227
AADAT	turquoise	0.824446657664161
AAED1	turquoise	0.725729395010376
AAGAB	grey	0.540351147491543
AAK1	grey	0.452848296997813
AAMDC	turquoise	0.430055278314095
AAMP	blue	0.759493262383079
AAR2	grey	0.0453054306679971
AARS	grey	-0.224321843960018
AARS2	grey	0.311005465969847
AARSD1	grey	-0.172140534092459
AASDH	turquoise	0.495616243346487
AASDHPPT	darkturquoise	0.762619500779731
AASS	grey	-0.221855700301477
AATBC	grey	-0.112509569424023
AATF	grey	0.256020203146822
AATK	grey60	0.930135110776855
ABALON	grey	0.0652611644716787
ABAT	turquoise	0.432750720549871
ABCA1	grey	0.786905627481318
ABCA10	grey	-0.00719013800383494
ABCA11P	grey	-0.376597912984457
ABCA12	grey	0.282351379407873
ABCA13	turquoise	0.515342757639242
ABCA2	turquoise	0.703893303816168
ABCA3	turquoise	0.602651104863307
ABCA4	turquoise	0.541419894720908
ABCA5	grey	-0.22417616584725
ABCA6	grey	0.344745288508316
ABCA7	grey	0.0677786739538786
ABCA9	grey	-0.0285599178382159
ABCB1	midnightblue	0.875990242822203
ABCB10	turquoise	0.685130510493697
ABCB11	turquoise	0.596791956435627
ABCB4	grey	0.129698151885832
ABCB5	turquoise	0.427777619228237
ABCB6	grey	-0.251048958850444
ABCB7	grey	-0.079428740385002
ABCB8	grey	0.0222311083699309
ABCB9	grey	0.204905984401391
ABCC1	grey	0.296064075915218
ABCC10	grey	-0.173077259530446
ABCC11	grey	0.0164712259830695
ABCC2	turquoise	0.629619470803346
ABCC3	yellow	0.69366550260049
ABCC4	yellow	0.669863140259005
ABCC5	turquoise	0.38785467502729
ABCC5-AS1	turquoise	0.509924394148958
ABCC6	turquoise	0.738846540631786
ABCC6P1	turquoise	0.640584858910382
ABCC6P2	turquoise	0.637962176249684
ABCC9	grey	-0.169652193410622
ABCD1	grey	0.811143622331039
ABCD2	turquoise	0.875081363790028
ABCD3	grey	-0.337535543985
ABCD4	grey	-0.187577420157715
ABCE1	royalblue	0.79209081654604
ABCF1	black	0.832999272477794
ABCF2	grey	0.37012629643308
ABCF3	magenta	0.639867433596036
ABCG1	grey	0.332537883134299
ABCG2	grey	-0.144157181772461
ABHD10	turquoise	0.666606181081982
ABHD11	grey	-0.0742106472071327
ABHD11-AS1	turquoise	0.453821716173861
ABHD12	magenta	0.65678552873341
ABHD12B	turquoise	0.567923237143836
ABHD13	yellowgreen	0.911378109657624
ABHD14A	turquoise	0.786739222538567
ABHD14B	tan	0.699304432727127
ABHD15	brown	0.48296770981973
ABHD16A	grey	0.491254578755025
ABHD16B	turquoise	0.25692521284198
ABHD17A	darkred	0.780758940501854
ABHD17B	turquoise	0.614023657974944
ABHD17C	orange	0.918727371101287
ABHD2	grey	-0.305043281604609
ABHD3	grey	0.362032235905713
ABHD4	grey	0.427842873394289
ABHD5	grey	0.575454385449561
