Donor	Treatment	Wash	CBF
T71	BSA	noWash	13.23932242
T71	BSA	noWash	13.65200013
T71	BSA	noWash	14.87456731
T71	BSA	noWash	11.51487468
T71	BSA	noWash	12.68975372
T71	BSA	noWash	12.67789158
T71	BSA	noWash	11.45784344
T71	BSA	noWash	10.33539197
T71	IL13	noWash	7.09370982
T71	IL13	noWash	6.892220625
T71	IL13	noWash	6.915893072
T71	IL13	noWash	2.407503243
T71	IL13	noWash	2.173989484
T71	IL13	noWash	7.707967679
T71	IL13	noWash	8.522204455
T71	IL13	noWash	7.572582545
T71	BSA	yesWash	11.93871788
T71	BSA	yesWash	12.33667515
T71	BSA	yesWash	11.58976288
T71	BSA	yesWash	11.95967149
T71	BSA	yesWash	13.04418654
T71	BSA	yesWash	10.2343792
T71	BSA	yesWash	11.41019427
T71	BSA	yesWash	11.84891997
T71	BSA	yesWash	10.22548178
T71	IL13	yesWash	13.43352983
T71	IL13	yesWash	12.25256329
T71	IL13	yesWash	11.90029056
T71	IL13	yesWash	10.71128613
T71	IL13	yesWash	10.17452139
T71	IL13	yesWash	9.360559679
T72	BSA	noWash	11.06437807
T72	BSA	noWash	10.96558898
T72	BSA	noWash	9.706587472
T72	BSA	noWash	10.09485097
T72	BSA	noWash	10.41008322
T72	BSA	noWash	12.47198376
T72	BSA	noWash	10.41008322
T72	BSA	noWash	9.289335492
T72	BSA	noWash	12.31846663
T72	BSA	noWash	11.57904239
T72	BSA	noWash	13.34533699
T72	BSA	noWash	11.94805762
T72	BSA	noWash	12.1052689
T72	BSA	noWash	9.982445117
T72	BSA	noWash	9.828869038
T72	BSA	noWash	10.479244
T72	BSA	noWash	10.479244
T72	BSA	noWash	10.89679493
T72	BSA	noWash	12.61734149
T72	IL13	noWash	8.306788163
T72	IL13	noWash	8.306788163
T72	IL13	noWash	5.634476088
T72	IL13	noWash	7.778113413
T72	IL13	noWash	7.573140376
T72	IL13	noWash	5.830155672
T72	IL13	noWash	6.556219173
T72	IL13	noWash	7.972175874
T72	IL13	noWash	6.277030978
T72	IL13	noWash	7.957574819
T72	IL13	noWash	7.404543402
T72	IL13	noWash	7.599399808
T72	IL13	noWash	6.440721327
T72	IL13	noWash	6.440721327
T72	IL13	noWash	6.086537974
T72	IL13	noWash	6.086537974
T72	IL13	noWash	5.1048383
T72	IL13	noWash	7.302040094
T72	IL13	noWash	10.14172235
T72	BSA	yesWash	11.95559072
T72	BSA	yesWash	12.05955238
T72	BSA	yesWash	10.60408916
T72	BSA	yesWash	10.34282122
T72	BSA	yesWash	12.13292489
T72	BSA	yesWash	10.34282122
T72	BSA	yesWash	6.782340626
T72	BSA	yesWash	9.811142927
T72	BSA	yesWash	10.77301968
T72	BSA	yesWash	10.09970595
T72	BSA	yesWash	8.725055895
T72	BSA	yesWash	8.725055895
T72	BSA	yesWash	7.710514512
T72	IL13	yesWash	13.54842024
T72	IL13	yesWash	13.54842024
T72	IL13	yesWash	14.39126575
T72	IL13	yesWash	10.74277584
T72	IL13	yesWash	9.392250869
T72	IL13	yesWash	10.57112985
T72	IL13	yesWash	10.57112985
T72	IL13	yesWash	10.57112985
