Donor	Treatment	Wash	CBF
HBEC1	BSA	noWash	9.477746398
HBEC1	BSA	noWash	8.070393375
HBEC1	BSA	noWash	5.836547943
HBEC1	BSA	noWash	8.681584309
HBEC1	BSA	noWash	12.664467
HBEC1	BSA	noWash	9.400146991
HBEC1	BSA	noWash	7.217035144
HBEC1	BSA	noWash	5.856452999
HBEC1	BSA	noWash	8.621314432
HBEC1	BSA	noWash	12.38740857
HBEC1	BSA	noWash	10.95526971
HBEC1	BSA	noWash	11.54909373
HBEC1	BSA	noWash	7.239320091
HBEC1	BSA	noWash	8.836556686
HBEC1	BSA	noWash	11.2073382
HBEC1	BSA	noWash	7.989507215
HBEC1	BSA	noWash	10.37626533
HBEC1	BSA	noWash	7.783495654
HBEC1	BSA	noWash	8.355290848
HBEC1	BSA	noWash	9.840975427
HBEC1	BSA	noWash	8.505549753
HBEC1	BSA	noWash	9.512564824
HBEC1	BSA	noWash	4.626485768
HBEC1	BSA	noWash	11.03767446
HBEC1	BSA	noWash	9.352939851
HBEC1	BSA	noWash	9.473658701
HBEC1	BSA	noWash	8.917717266
HBEC1	BSA	noWash	4.643328969
HBEC1	BSA	noWash	12.14594396
HBEC1	BSA	noWash	10.1321537
HBEC1	BSA	noWash	6.978880665
HBEC1	BSA	noWash	7.860933527
HBEC1	BSA	noWash	8.142426122
HBEC1	BSA	noWash	12.50967819
HBEC1	BSA	noWash	9.80711368
HBEC1	BSA	noWash	11.19200178
HBEC1	BSA	noWash	7.837773462
HBEC1	BSA	noWash	8.09042742
HBEC1	BSA	noWash	11.11401554
HBEC1	BSA	noWash	9.605750464
HBEC1	BSA	noWash	9.646666656
HBEC1	BSA	noWash	8.538427902
HBEC1	BSA	noWash	9.490461527
HBEC1	BSA	noWash	12.85542609
HBEC1	BSA	noWash	9.670026795
HBEC1	BSA	noWash	9.87095908
HBEC1	BSA	noWash	9.299699212
HBEC1	BSA	noWash	9.511585925
HBEC1	BSA	noWash	10.46111692
HBEC1	BSA	noWash	10.40464283
HBEC1	BSA	noWash	5.924890957
HBEC1	BSA	noWash	9.479294012
HBEC1	BSA	noWash	11.06397077
HBEC1	BSA	noWash	9.506854944
HBEC1	BSA	noWash	9.04823911
HBEC1	BSA	noWash	12.5112481
HBEC1	BSA	noWash	11.12956741
HBEC1	BSA	noWash	10.41272259
HBEC1	BSA	noWash	7.57566606
HBEC1	BSA	noWash	9.778315828
HBEC1	BSA	noWash	11.39498523
HBEC1	BSA	noWash	10.68607157
HBEC1	BSA	noWash	8.377602417
HBEC1	BSA	noWash	8.66263235
HBEC1	BSA	noWash	9.948195586
HBEC1	BSA	noWash	9.002179306
HBEC1	BSA	noWash	10.4863938
HBEC1	BSA	noWash	7.658128344
HBEC1	BSA	noWash	8.027696044
HBEC1	BSA	noWash	10.9825406
HBEC1	BSA	noWash	9.481925312
HBEC1	BSA	noWash	10.19736865
HBEC1	BSA	noWash	5.779221294
HBEC1	BSA	noWash	8.497337786
HBEC1	BSA	noWash	11.2046547
HBEC1	BSA	noWash	9.466843921
HBEC1	BSA	noWash	9.619719186
HBEC1	BSA	noWash	7.62340374
HBEC1	BSA	noWash	9.117872547
HBEC1	BSA	noWash	11.22194934
HBEC1	BSA	noWash	9.865307097
HBEC1	BSA	noWash	8.436295239
HBEC1	BSA	noWash	10.87789484
HBEC1	BSA	noWash	5.692277965
HBEC1	BSA	noWash	9.395174858
HBEC1	BSA	noWash	10.40352402
HBEC1	BSA	noWash	11.22275503
HBEC1	BSA	noWash	10.52207523
HBEC1	BSA	noWash	5.717363129
HBEC1	BSA	noWash	8.882894258
HBEC1	BSA	noWash	10.26263709
HBEC1	BSA	noWash	9.28888181
HBEC1	BSA	noWash	10.03618954
HBEC1	BSA	noWash	8.156134071
HBEC1	BSA	noWash	12.49539036
HBEC1	BSA	noWash	9.338171843
HBEC1	BSA	noWash	9.807970788
HBEC1	BSA	noWash	9.874835135
HBEC1	BSA	noWash	7.941919009
HBEC1	BSA	noWash	12.04994407
HBEC1	BSA	noWash	9.470889062
HBEC1	BSA	noWash	9.959460784
HBEC1	BSA	noWash	8.447719702
HBEC1	BSA	noWash	8.954581248
HBEC1	BSA	noWash	11.99003904
HBEC1	BSA	noWash	9.230181418
HBEC1	BSA	noWash	10.30092228
HBEC1	BSA	noWash	8.889373777
HBEC1	BSA	noWash	9.683387039
HBEC1	BSA	noWash	11.74990276
HBEC1	BSA	noWash	9.808002529
HBEC1	BSA	noWash	10.36401257
HBEC1	BSA	noWash	6.438385287
HBEC1	BSA	noWash	9.556473147
HBEC1	BSA	noWash	9.954522248
HBEC1	BSA	noWash	9.875777227
HBEC1	BSA	noWash	10.41578633
HBEC1	BSA	noWash	7.524031073
HBEC1	BSA	noWash	10.26812003
HBEC1	BSA	noWash	14.43630089
HBEC1	BSA	noWash	10.62246783
HBEC1	BSA	noWash	10.14614555
HBEC1	BSA	noWash	8.610262169
HBEC1	BSA	noWash	11.16568345
HBEC1	BSA	noWash	14.43398021
HBEC1	BSA	noWash	10.4800958
HBEC1	BSA	noWash	9.833796259
HBEC1	BSA	noWash	7.818566444
HBEC1	BSA	noWash	8.327118287
HBEC1	BSA	noWash	9.728613529
HBEC1	BSA	noWash	10.86388009
HBEC1	BSA	noWash	8.932200719
HBEC1	BSA	noWash	7.231983056
HBEC1	BSA	noWash	7.843579331
HBEC1	BSA	noWash	9.930011089
HBEC1	BSA	noWash	9.157625831
HBEC1	BSA	noWash	8.463535327
HBEC1	BSA	noWash	8.308782583
HBEC1	BSA	noWash	7.567694981
HBEC1	BSA	noWash	11.03675119
HBEC1	BSA	noWash	9.554769989
HBEC1	BSA	noWash	7.97240433
HBEC1	BSA	noWash	8.642291326
HBEC1	BSA	noWash	7.480726918
HBEC1	BSA	noWash	9.879395785
HBEC1	BSA	noWash	8.812865863
HBEC1	BSA	noWash	10.40580592
HBEC1	BSA	noWash	6.211408081
HBEC1	BSA	noWash	9.627355702
HBEC1	BSA	noWash	11.04796021
HBEC1	BSA	noWash	9.345899139
HBEC1	BSA	noWash	10.23237647
HBEC1	BSA	noWash	6.358844874
HBEC1	BSA	noWash	8.307050402
HBEC1	BSA	noWash	9.142013792
HBEC1	BSA	noWash	9.198005746
HBEC1	BSA	noWash	8.646378328
HBEC1	BSA	noWash	6.396365182
HBEC1	BSA	noWash	8.435855735
HBEC1	BSA	noWash	8.423980362
HBEC1	BSA	noWash	9.903085595
HBEC1	BSA	noWash	10.83825582
HBEC1	BSA	noWash	5.932588651
HBEC1	BSA	noWash	10.16818705
HBEC1	BSA	noWash	9.901175537
HBEC1	BSA	noWash	9.468665504
HBEC1	BSA	noWash	8.424493083
HBEC1	BSA	noWash	10.02831865
HBEC1	BSA	noWash	11.18259257
HBEC1	BSA	noWash	9.406760733
HBEC1	BSA	noWash	9.65683314
HBEC1	BSA	noWash	8.690743507
HBEC1	BSA	noWash	8.897085793
HBEC1	BSA	noWash	8.342847697
HBEC1	BSA	noWash	12.20480457
HBEC1	BSA	noWash	10.34523999
HBEC1	BSA	noWash	8.837874379
HBEC1	BSA	noWash	12.26585297
HBEC1	BSA	noWash	8.910506083
HBEC1	BSA	noWash	7.580546514
HBEC1	BSA	noWash	12.84554194
HBEC1	BSA	noWash	8.72974768
HBEC1	BSA	noWash	10.99757781
HBEC1	BSA	noWash	6.591900727
HBEC1	BSA	noWash	9.052738888
HBEC1	BSA	noWash	8.798523716
HBEC1	BSA	noWash	9.776486886
HBEC1	BSA	noWash	11.1357788
HBEC1	BSA	noWash	7.678051043
HBEC1	BSA	noWash	7.594773934
HBEC1	BSA	noWash	9.813134188
HBEC1	BSA	noWash	9.842763326
HBEC1	BSA	noWash	9.975435629
HBEC1	BSA	noWash	7.519613278
HBEC1	BSA	noWash	9.855997041
HBEC1	BSA	noWash	10.55837787
HBEC1	BSA	noWash	5.55797027
HBEC1	BSA	noWash	8.906005268
HBEC1	BSA	noWash	9.943890162
HBEC1	BSA	noWash	10.33365227
