wellID	raw_reads	filt_reads	filt_UMI	mapped_reads	pct_mapped_reads	reads_in_gene	pct_reads_in_gene	genes_detected	UMI_in_gene	MT_reads	pct_MT_reads	UMI_in_gene_per_mapped_reads
97570.1.0.11	388471	373063	12940	328811	84.6434127471019	293852	75.6441887062133	3649	9146	42733	11.0004144005474	2.78153711402599
97570.1.0.16	439415	426623	15997	380148	86.5115785035713	340767	77.5492784457139	3824	10154	34704	7.89784943325937	2.67106495364963
97570.1.0.1	248838	241285	8372	203251	81.6823921969926	182952	73.5248994353916	2508	6074	32320	12.988731105317	2.98842318118976
97570.1.0.22	385307	373251	13201	318860	82.7569392592164	284421	73.8188312440599	3270	8676	44520	11.5545477738795	2.72094336072257
97570.1.0.36	319865	311180	11705	276127	86.3257009640215	246595	77.0930346917656	2968	7426	45719	14.293124652951	2.68934222296262
97570.1.0.45	254289	247329	9613	225318	88.6091572997423	199969	78.6404999669914	2542	5851	19504	7.67002604123507	2.59677433671522
97570.1.0.47	364929	355174	12897	315596	86.4769685921754	287374	78.7434509270608	3137	8490	46941	12.8621129683447	2.69014816410854
97570.1.0.49	653190	635756	23388	577189	88.3651406264617	483555	74.0303183858592	5188	14601	42303	6.4762652691004	2.52967398893603
97570.1.0.52	115862	112506	4410	96196	83.0228985705866	87290	75.3358530595117	1302	2947	24296	20.971522787475	3.06353694540314
97570.1.0.65	138217	134046	5216	116317	84.1560308687462	103524	74.9005965235776	1663	3515	12431	8.99373002949323	3.02191425157114
97570.1.0.69	189578	183334	6722	146230	77.1395596610566	134981	71.2068965184776	2190	5117	14183	7.48100240905502	3.4992819530876
97570.1.0.9	162155	158517	5812	135927	83.8239092264329	125409	77.3368877776257	1635	3817	21495	13.254274511529	2.80812494942138
97570.1.1.18	163545	158685	5963	137062	83.8034869465924	126189	77.1552384661385	1791	4017	22464	13.734585136464	2.93079044519998
97570.1.1.22	267811	259205	10019	219055	81.7907668598312	197558	73.7642235374836	2712	6943	34783	12.9873290071606	3.16952363561663
97570.1.1.23	192801	187205	6887	163913	85.0147160336135	152756	79.2275978603209	2002	4826	46102	23.9104237796016	2.94424481279703
97570.1.1.28	84796	82010	3332	69426	81.8747627537329	60081	70.8545783582654	1106	2111	4966	5.85655954127795	3.0406475960015
97570.1.1.29	226065	219655	7638	191069	84.519215808289	172125	76.1393041768208	2126	5167	37927	16.7765452754476	2.70425867095133
97570.1.1.40	703018	683922	25220	614542	87.4115649240783	539494	76.7363275439601	5252	16403	83914	11.9365464498185	2.66914222298883
97570.1.1.46	260636	252685	9564	226296	86.8255667135718	201299	77.2348619493124	2626	6192	26667	10.231842608339	2.73623926185173
97570.1.1.47	340535	332742	10981	291378	85.5641840086276	267558	78.5693495631487	2558	7238	65853	19.3378407262179	2.48405850819211
97570.1.1.4	662635	651480	24183	595546	89.8750804568172	493505	74.475630959426	4541	13759	55058	8.3089052416882	2.310316919264
97570.1.1.53	182284	176504	6017	157550	86.4321234820976	140803	77.2447670081993	1780	4117	38215	20.9645649010309	2.61313868613139
