raw_reads	filt_reads	filt_UMI	mapped_reads	pct_mapped_reads	reads_in_gene	pct_reads_in_gene	genes_detected	UMI_in_gene	MT_reads	pct_MT_reads	UMI_in_gene_per_mapped_reads
91497.1.0.13	212291	208222	7063	125713	59.2513829429238	111508	52.6029867192914	1451	3286	15993	7.52194937637385	0.0427997498083975
91497.1.0.14	635313	622915	21260	531063	83.686985224201	445405	70.2308570671503	4025	11853	43373	6.81962777834833	0.0364455822985594
91497.1.0.16	242724	237224	8168	167139	68.8823435798864	153489	63.2996215474848	1880	4439	9503	3.92731845637496	0.0440575191953707
91497.1.0.33	285289	280352	9119	241160	84.5924167452555	213039	74.7707656302601	2090	5261	13578	4.7704406498577	0.0362166739423986
91497.1.0.34	836414	825352	25980	742924	88.8988778778093	617789	73.9680668439855	4769	15056	34405	4.11337319303933	0.0332763422182461
91497.1.0.35	172944	169673	5835	120204	69.5910796954175	110725	64.1311585308282	1315	3041	12749	7.38753978391064	0.0431398885123624
91497.1.0.37	178314	174884	6223	126697	71.097094933639	114935	64.5478967744048	1431	3397	15444	8.68221731504625	0.0446287523157594
91497.1.0.43	265549	259770	9100	204466	77.1301058483499	179521	67.8090552983266	2029	5101	21236	8.03812651549244	0.0409159648451519
91497.1.0.49	210357	206527	6669	135545	64.5248971640477	123786	59.0103237163464	1540	3536	16723	7.96650026234016	0.0420762620637241
91497.1.0.54	392797	383534	12005	275357	70.2506592454264	248881	63.5379672519506	2622	7295	21772	5.53478794539921	0.0431639867814689
91497.1.0.58	497060	487210	14554	352978	71.0973121786839	311679	62.8305220420816	3173	8697	36843	7.4130322853431	0.0398999520474219
91497.1.0.61	1035702	1019159	28251	650460	62.8535406411226	591765	57.2310280404504	4293	14907	119282	11.5258915906108	0.0364866087944494
91497.1.0.63	2019515	1992292	56489	1617098	80.145382348511	1358496	67.3498220298062	7038	31448	195218	9.66329842694245	0.0308880724011467
91497.1.0.64	723224	708971	22268	394696	54.6253950739625	358109	49.6157000747495	3817	11077	97731	13.4966977054225	0.0448784738433798
91497.1.0.68	1186207	1161503	33455	808381	68.2687906880976	728390	61.5826001656949	5617	20376	86278	7.28693046528908	0.0399094316795003
91497.1.0.69	869700	854087	26899	490167	56.4791984690765	443868	51.1804374226079	4353	13344	115872	13.3408264807369	0.0442662754383022
91497.1.0.70	1313931	1282133	37753	960185	73.2318058806426	863475	65.9192788650973	6340	23685	93999	7.15016482930608	0.039029399426887
91497.1.1.1	467239	459862	14962	380706	81.5387716030098	331718	71.1079160422676	2837	8349	55131	11.7995289619527	0.0360967104955605
91497.1.1.2	190918	187479	6953	143523	75.2566447554699	134265	70.446791910427	1448	3759	25663	13.4941172733709	0.0448369839700524
91497.1.1.31	361537	356414	11391	308145	85.2843733280253	255788	70.8179923094732	2342	6310	25741	7.1076375098964	0.0339157035849632
91497.1.1.34	120493	117321	3855	84552	70.2333413837864	75691	62.8995301812083	1039	2169	10262	8.50920113430028	0.0414186163360507
91497.1.1.35	93949	90478	3078	57561	61.4509590470942	50353	53.8392288379065	1026	1755	1861	2.00673010155004	0.0493134576517246
91497.1.1.49	383788	377348	12536	295141	76.9609634075413	249956	65.20903056813	2563	6785	39624	10.3176615634217	0.0375811497582994
91497.1.1.53	222540	217963	7610	164780	74.1523116260976	151636	68.2627662058324	1718	4120	15988	7.20020297357606	0.0414036594399314
91497.1.1.56	397407	388690	15061	302487	76.2122136534488	274889	69.309611995871	3120	8414	35404	8.93506154798257	0.047057378006344
91497.1.1.57	683300	671459	21508	573039	83.9476177275915	516820	75.7536246127975	4188	12842	33575	4.92568719925349	0.036519086669815
91497.1.1.58	681637	666816	24233	534472	78.4805894256981	460084	67.5975270709696	4942	13652	35892	5.26622040862309	0.0415723654415272
91497.1.1.59	431368	423579	12960	288066	66.8306242625544	266096	61.7783672576854	2412	6986	77601	17.9496185168902	0.0395094067654897
91497.1.1.60	547423	536347	16163	349764	64.0857730904921	317365	58.2123140436701	3134	8697	49761	9.11462098486364	0.0396383331638174
91497.1.1.61	1576412	1543284	43909	1149606	73.0466056453403	1049291	66.742472411852	6564	29099	132190	8.38797311783661	0.0411409475663783
91497.1.1.66	1287945	1266281	38570	1000712	77.7768326983572	906685	70.5117378911427	5846	21978	80594	6.27022124315297	0.0353264041205302
91497.1.1.69	1242321	1216608	36077	959318	77.3234049488518	838257	67.6296981143984	6062	21686	102091	8.21173742399554	0.035964521950167
91497.1.1.6	342037	335323	12099	264044	77.3072243704632	237924	69.6969520427272	2643	7165	20835	6.08144886583147	0.0453597142749737
91497.1.1.71	1760442	1741929	49688	1506479	85.6192597954775	1252355	71.1953793292479	6654	28137	96634	5.49801088237056	0.0300992356592705
