Accession	Protein	Gene	Gene_protein	X152328_BSA_d1_A	X152328_IL13_d1_A	X153087_BSA_d1_A	X153087_IL13_d1_A	X153173_BSA_d2_H	X153173_IL13_d2_H	X153724_BSA_d1_A	X153724_IL13_d1_A	X153741_BSA_d2_H	X153741_IL13_d2_H	X153870_BSA_d1_H	X153870_IL13_d1_H	X154142_BSA_d2_A	X154142_IL13_d2_A	X154417_BSA_d2_A	X154417_IL13_d2_A	X154566_BSA_d1_A	X154566_IL13_d1_A	X154651_BSA_d2_A	X154651_IL13_d2_A	X154711_BSA_d1_A	X154711_IL13_d1_A	X154717_BSA_d1_A	X154717_IL13_d1_A	X154783_BSA_d1_A	X154783_IL13_d1_A	X155404_BSA_d2_H	X155404_IL13_d2_H
A2ML1_HUMAN	Alpha-2-macroglobulin-like protein 1 OS=Homo sapiens GN=A2ML1 PE=1 SV=3	A2ML1	A2ML1_A2ML1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ABCAD_HUMAN	ATP-binding cassette sub-family A member 13 OS=Homo sapiens GN=ABCA13 PE=2 SV=3	ABCA13	ABCA13_ABCAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA4_HUMAN	Retinal-specific ATP-binding cassette transporter OS=Homo sapiens GN=ABCA4 PE=1 SV=3	ABCA4	ABCA4_ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
BGAT_HUMAN	Histo-blood group ABO system transferase OS=Homo sapiens GN=ABO PE=1 SV=2	ABO	ABO_BGAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACACA_HUMAN	Acetyl-CoA carboxylase 1 OS=Homo sapiens GN=ACACA PE=1 SV=2	ACACA	ACACA_ACACA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACADV_HUMAN	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1"	ACADVL	ACADVL_ACADV	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0
ACON_HUMAN	"Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2"	ACO2	ACO2_ACON	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	4	0	0	0	0	0	0	0
PPAC_HUMAN	Low molecular weight phosphotyrosine protein phosphatase OS=Homo sapiens GN=ACP1 PE=1 SV=3	ACP1	ACP1_PPAC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0
PPAL_HUMAN	Lysosomal acid phosphatase OS=Homo sapiens GN=ACP2 PE=1 SV=3	ACP2	ACP2_PPAL	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTS_HUMAN	"Actin, alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=1 SV=1"	ACTA1	ACTA1_ACTS	0	14	0	20	0	0	0	16	0	0	27	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0
ACTA_HUMAN	"Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1"	ACTA2	ACTA2_ACTA	0	0	0	0	0	0	0	0	0	0	0	0	10	12	11	19	0	0	0	12	0	0	0	14	0	0	0	11
ACTB_HUMAN	"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1"	ACTB	ACTB_ACTB	0	25	0	0	17	20	0	24	16	26	44	0	21	27	21	34	23	0	23	24	0	0	0	22	26	21	19	22
ACTBL_HUMAN	Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2	ACTBL2	ACTBL2_ACTBL	0	7	10	0	0	0	5	0	2	0	0	6	0	0	0	11	0	0	0	0	0	5	5	0	0	0	0	0
ACTC_HUMAN	"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1"	ACTC1	ACTC1_ACTC	22	0	0	0	10	10	0	0	0	11	0	0	0	0	0	0	15	0	12	0	20	14	13	0	0	0	0	0
