Accession	Protein	Gene	Gene_protein	X153173_BSA_d3_H	X153173_IL13_d3_H	X153741_BSA_d3_H	X153741_IL13_d3_H	X154142_BSA_d3_A	X154142_IL13_d3_A	X154417_BSA_d3_A	X154417_IL13_d3_A	X154651_BSA_d3_A	X154651_IL13_d3_A	X155404_BSA_d3_H	X155404_IL13_d3_H
SYAC_HUMAN	"Alanine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=AARS PE=1 SV=2"	AARS	AARS_SYAC	0	0	1	0	0	0	0	1	0	0	0	0
ADPPT_HUMAN	L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens GN=AASDHPPT PE=1 SV=2	AASDHPPT	AASDHPPT_ADPPT	0	0	0	0	1	0	0	0	0	0	0	0
ABCD3_HUMAN	ATP-binding cassette sub-family D member 3 OS=Homo sapiens GN=ABCD3 PE=1 SV=1	ABCD3	ABCD3_ABCD3	0	2	2	1	0	3	0	1	0	3	0	1
ABHDA_HUMAN	"Mycophenolic acid acyl-glucuronide esterase, mitochondrial OS=Homo sapiens GN=ABHD10 PE=1 SV=1"	ABHD10	ABHD10_ABHDA	0	0	0	0	0	0	0	0	0	1	0	1
ABHDB_HUMAN	Protein ABHD11 OS=Homo sapiens GN=ABHD11 PE=1 SV=1	ABHD11	ABHD11_ABHDB	0	2	0	0	1	0	0	0	0	0	0	0
ABI1_HUMAN	Abl interactor 1 OS=Homo sapiens GN=ABI1 PE=1 SV=4	ABI1	ABI1_ABI1	0	0	0	0	1	0	0	0	0	1	0	0
ABRAL_HUMAN	Costars family protein ABRACL OS=Homo sapiens GN=ABRACL PE=1 SV=1	ABRACL	ABRACL_ABRAL	0	0	0	0	0	0	0	0	1	0	0	0
THIM_HUMAN	"3-ketoacyl-CoA thiolase, mitochondrial OS=Homo sapiens GN=ACAA2 PE=1 SV=2"	ACAA2	ACAA2_THIM	0	0	0	0	0	0	0	0	0	1	0	0
ACAD9_HUMAN	"Acyl-CoA dehydrogenase family member 9, mitochondrial OS=Homo sapiens GN=ACAD9 PE=1 SV=1"	ACAD9	ACAD9_ACAD9	0	0	0	0	0	0	0	0	0	1	1	0
ACADM_HUMAN	"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADM PE=1 SV=1"	ACADM	ACADM_ACADM	1	0	0	1	0	0	1	1	0	0	0	0
ACADS_HUMAN	"Short-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADS PE=1 SV=1"	ACADS	ACADS_ACADS	0	0	0	0	1	0	0	0	0	0	0	0
ACDSB_HUMAN	"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADSB PE=1 SV=1"	ACADSB	ACADSB_ACDSB	0	0	0	0	0	0	0	1	0	0	0	0
ACADV_HUMAN	"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADVL PE=1 SV=1"	ACADVL	ACADVL_ACADV	2	8	7	5	4	6	5	6	5	4	1	1
THIL_HUMAN	"Acetyl-CoA acetyltransferase, mitochondrial OS=Homo sapiens GN=ACAT1 PE=1 SV=1"	ACAT1	ACAT1_THIL	0	1	2	0	1	0	1	1	2	1	2	0
GCP60_HUMAN	Golgi resident protein GCP60 OS=Homo sapiens GN=ACBD3 PE=1 SV=4	ACBD3	ACBD3_GCP60	0	0	0	0	0	0	0	0	0	1	0	0
ACLY_HUMAN	ATP-citrate synthase OS=Homo sapiens GN=ACLY PE=1 SV=3	ACLY	ACLY_ACLY	0	2	0	0	0	0	0	1	0	1	0	1
ACON_HUMAN	"Aconitate hydratase, mitochondrial OS=Homo sapiens GN=ACO2 PE=1 SV=2"	ACO2	ACO2_ACON	9	11	13	8	7	9	7	9	9	8	9	13
ACO13_HUMAN	Acyl-coenzyme A thioesterase 13 OS=Homo sapiens GN=ACOT13 PE=1 SV=1	ACOT13	ACOT13_ACO13	0	0	1	1	0	0	0	0	0	0	1	0
ACOT9_HUMAN	"Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens GN=ACOT9 PE=1 SV=2"	ACOT9	ACOT9_ACOT9	0	0	0	0	0	0	0	0	0	1	0	0
ACOX1_HUMAN	Peroxisomal acyl-coenzyme A oxidase 1 OS=Homo sapiens GN=ACOX1 PE=1 SV=3	ACOX1	ACOX1_ACOX1	0	0	0	0	0	1	0	0	0	0	0	0
ACOX3_HUMAN	Peroxisomal acyl-coenzyme A oxidase 3 OS=Homo sapiens GN=ACOX3 PE=1 SV=2	ACOX3	ACOX3_ACOX3	0	5	0	2	0	1	0	3	0	1	0	1
ACSL3_HUMAN	Long-chain-fatty-acid--CoA ligase 3 OS=Homo sapiens GN=ACSL3 PE=1 SV=3	ACSL3	ACSL3_ACSL3	0	2	1	0	0	0	0	0	0	1	0	0
ACTA_HUMAN	"Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1"	ACTA2	ACTA2_ACTA	9	0	9	10	12	11	12	11	10	11	10	11
ACTB_HUMAN	"Actin, cytoplasmic 1 OS=Homo sapiens GN=ACTB PE=1 SV=1"	ACTB	ACTB_ACTB	18	21	19	18	23	22	21	21	19	22	19	21
ACTBL_HUMAN	Beta-actin-like protein 2 OS=Homo sapiens GN=ACTBL2 PE=1 SV=2	ACTBL2	ACTBL2_ACTBL	0	0	0	0	0	0	6	5	4	0	0	0
ACTC_HUMAN	"Actin, alpha cardiac muscle 1 OS=Homo sapiens GN=ACTC1 PE=1 SV=1"	ACTC1	ACTC1_ACTC	0	10	0	0	0	0	0	0	0	0	0	0
ACTN1_HUMAN	Alpha-actinin-1 OS=Homo sapiens GN=ACTN1 PE=1 SV=2	ACTN1	ACTN1_ACTN1	5	11	4	7	6	6	0	10	6	8	5	5
ACTN4_HUMAN	Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2	ACTN4	ACTN4_ACTN4	15	25	9	16	9	16	16	26	10	17	8	13
ACTZ_HUMAN	Alpha-centractin OS=Homo sapiens GN=ACTR1A PE=1 SV=1	ACTR1A	ACTR1A_ACTZ	0	0	0	0	0	0	0	1	0	0	0	0
ACTY_HUMAN	Beta-centractin OS=Homo sapiens GN=ACTR1B PE=1 SV=1	ACTR1B	ACTR1B_ACTY	0	2	0	1	0	0	0	0	0	1	0	0
ARP2_HUMAN	Actin-related protein 2 OS=Homo sapiens GN=ACTR2 PE=1 SV=1	ACTR2	ACTR2_ARP2	1	1	2	1	1	2	1	2	1	1	0	2
ARP3_HUMAN	Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3	ACTR3	ACTR3_ARP3	2	5	4	4	0	3	2	3	2	3	0	4
ARP3B_HUMAN	Actin-related protein 3B OS=Homo sapiens GN=ACTR3B PE=2 SV=1	ACTR3B	ACTR3B_ARP3B	0	0	0	0	1	0	0	0	0	0	2	0
ADAM9_HUMAN	Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens GN=ADAM9 PE=1 SV=1	ADAM9	ADAM9_ADAM9	0	0	0	0	0	0	0	1	0	1	0	0
ADH1G_HUMAN	Alcohol dehydrogenase 1C OS=Homo sapiens GN=ADH1C PE=1 SV=2	ADH1C	ADH1C_ADH1G	0	2	1	3	0	0	1	0	0	0	0	0
ADHX_HUMAN	Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4	ADH5	ADH5_ADHX	0	1	1	1	0	0	0	1	1	0	1	1
ADH7_HUMAN	Alcohol dehydrogenase class 4 mu/sigma chain OS=Homo sapiens GN=ADH7 PE=1 SV=2	ADH7	ADH7_ADH7	0	0	0	0	0	0	0	1	0	1	1	1
ADK_HUMAN	Adenosine kinase OS=Homo sapiens GN=ADK PE=1 SV=2	ADK	ADK_ADK	0	0	0	0	0	0	0	1	0	1	0	1
AFAD_HUMAN	Afadin OS=Homo sapiens GN=AFDN PE=1 SV=3	AFDN	AFDN_AFAD	0	0	0	0	0	0	0	0	0	1	0	0
AFG32_HUMAN	AFG3-like protein 2 OS=Homo sapiens GN=AFG3L2 PE=1 SV=2	AFG3L2	AFG3L2_AFG32	0	0	0	0	0	0	1	0	0	0	0	0
ADAS_HUMAN	"Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens GN=AGPS PE=1 SV=1"	AGPS	AGPS_ADAS	0	0	0	0	0	0	0	1	0	1	0	0
AGR2_HUMAN	Anterior gradient protein 2 homolog OS=Homo sapiens GN=AGR2 PE=1 SV=1	AGR2	AGR2_AGR2	10	10	8	9	10	10	10	8	6	10	10	10
AGR3_HUMAN	Anterior gradient protein 3 OS=Homo sapiens GN=AGR3 PE=1 SV=1	AGR3	AGR3_AGR3	3	4	3	0	3	0	3	0	4	4	3	0
AGRIN_HUMAN	Agrin OS=Homo sapiens GN=AGRN PE=1 SV=5	AGRN	AGRN_AGRIN	0	1	1	3	1	2	1	4	0	0	1	1
SAHH_HUMAN	Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4	AHCY	AHCY_SAHH	1	0	1	1	1	0	1	2	1	2	0	0
AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	AHNAK	AHNAK_AHNK	1	2	0	1	1	1	2	2	2	4	0	1
AHNK2_HUMAN	Protein AHNAK2 OS=Homo sapiens GN=AHNAK2 PE=1 SV=2	AHNAK2	AHNAK2_AHNK2	0	0	0	0	1	0	0	0	0	0	0	0
AHSA1_HUMAN	Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1	AHSA1	AHSA1_AHSA1	0	0	3	0	0	0	0	0	0	0	0	0
AIFM1_HUMAN	"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens GN=AIFM1 PE=1 SV=1"	AIFM1	AIFM1_AIFM1	0	2	1	0	0	0	0	0	0	0	0	0
AIMP1_HUMAN	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1 OS=Homo sapiens GN=AIMP1 PE=1 SV=2	AIMP1	AIMP1_AIMP1	0	1	2	1	0	0	0	1	0	0	0	0
